input1;0.215256;0.135813;0.173184;0.222245;0.151054;0.191508;0.213259;0.219406;0.232647;0.228979;0.195622
input2;0.180042;0.161914;0.18372;0.165468;0.166126;0.159377;0.186286;0.258173;0.1805;0.201513;0.183787
input3;0.168977;0.167986;0.180476;0.225438;0.247768;0.163585;0.204605;0.261951;0.189513;0.200111;0.177649
input4;0.194489;0.204878;0.139575;0.170937;0.223068;0.206595;0.17916;0.223124;0.22918;0.223853;0.147181
input5;0.161674;0.181799;0.20967;0.158462;0.219274;0.208592;0.173015;0.152902;0.237747;0.167547;0.193548
input6;0.149051;0.127648;0.144031;0.144222;0.167655;0.190939;0.15524;0.119442;0.164329;0.170937;0.167346
input7;0.168924;0.169283;0.185841;0.139511;0.151863;0.171232;0.13027;0.143245;0.157931;0.144217;0.0967679
input8;0.159393;0.119912;0.162943;0.174993;0.160433;0.251926;0.179862;0.210165;0.139909;0.204175;0.164103
input9;0.157813;0.123207;0.140964;0.149127;0.147221;0.156949;0.1714;0.147039;0.173873;0.128653;0.197726
input10;0.16659;0.148803;0.173973;0.185017;0.171035;0.178845;0.185321;0.153495;0.172385;0.221194;0.151384
input11;0.129671;0.136718;0.223819;0.168035;0.224055;0.234888;0.228807;0.138681;0.196614;0.165252;0.217993
input12;0.18608;0.137473;0.226037;0.152294;0.222243;0.197343;0.153812;0.184714;0.154323;0.208906;0.183734
input13;0.152567;0.175301;0.167915;0.182057;0.26206;0.20608;0.175193;0.158021;0.248426;0.179779;0.194351
input14;0.156275;0.221884;0.156628;0.136264;0.175665;0.177742;0.153926;0.224484;0.215591;0.201682;0.211893
input15;0.154648;0.18629;0.160712;0.189147;0.223183;0.218266;0.271437;0.192085;0.188042;0.182576;0.146993
input16;0.204791;0.181104;0.256495;0.167753;0.213088;0.219531;0.144039;0.177363;0.171214;0.209734;0.18191
input17;0.176242;0.147975;0.177395;0.20546;0.174923;0.205132;0.199976;0.169379;0.202952;0.213471;0.16529
input18;0.211779;0.169664;0.17941;0.171081;0.203736;0.185945;0.186413;0.208464;0.165543;0.188049;0.192058
input19;0.250026;0.145087;0.209145;0.194128;0.145435;0.244255;0.194272;0.199688;0.216066;0.208543;0.217343
input20;0.189442;0.176048;0.187915;0.16285;0.244162;0.193552;0.248825;0.220143;0.196919;0.145821;0.2153
input21;0.0705752;0.0569278;0.0849477;0.0784505;0.0225729;0.0908111;0.0844487;0.111533;0.106406;0.150237;0.17456
input22;0.0566349;0.13772;0.064924;0.0717587;0.0831172;0.100816;0.122251;0.0800006;0.133542;0.114248;0.148002
input23;0.133079;0.077453;0.0934101;0.0475582;0.073681;0.034933;0.0867838;0.117958;0.123291;0.143754;0.0883129
input24;0.103967;0.0931832;0.051099;0.0405309;0.103131;0.12382;0.119776;0.0920105;0.101883;0.0990699;0.121132
input25;0.0684211;0.0644269;0.130836;0.0447467;0.0745475;0.0788826;0.0792897;0.124181;0.0918457;0.14508;0.129488
input26;0.423083;0.416905;0.417511;0.401993;0.41963;0.341169;0.339401;0.16933;0.154023;0.147315;0.117711
input27;0.416857;0.474676;0.295545;0.343682;0.274164;0.320461;0.328612;0.236967;0.154244;0.187494;0.184788
input28;0.437121;0.400059;0.447814;0.402726;0.395087;0.351516;0.273736;0.197661;0.168192;0.189771;0.154506
input29;0.430979;0.474582;0.417479;0.393042;0.418829;0.341435;0.3004;0.216223;0.252805;0.154491;0.0868263
input30;0.398276;0.495423;0.456703;0.41629;0.339789;0.228331;0.289779;0.28608;0.152649;0.185437;0.0962495
