input1;0.174374;0.214506;0.203021;0.215331;0.194371;0.203051;0.185504;0.205648;0.211638;0.207831;0.187987;0.211194;0.203061;0.195706;0.171479;0.211159;0.219933;0.206195;0.157466;0.184475
input2;0.20742;0.19522;0.200112;0.187366;0.21453;0.174411;0.207967;0.203143;0.207372;0.225863;0.222793;0.208571;0.214083;0.227869;0.179186;0.174455;0.204232;0.194415;0.197337;0.175662
input3;0.234267;0.173575;0.154461;0.25046;0.191109;0.236109;0.175733;0.217373;0.183493;0.191081;0.179575;0.184541;0.215893;0.209674;0.187152;0.196932;0.18654;0.175266;0.209301;0.189789
input4;0.159111;0.195334;0.187322;0.193264;0.221606;0.18414;0.205861;0.17781;0.259706;0.215059;0.200263;0.178173;0.203201;0.241036;0.24368;0.224501;0.151725;0.197819;0.18889;0.210905
input5;0.203294;0.209825;0.206581;0.193208;0.159922;0.227829;0.191752;0.249716;0.230511;0.170514;0.20796;0.196464;0.200745;0.213819;0.207398;0.217818;0.170648;0.189107;0.221351;0.230153
input6;0.165106;0.192467;0.225401;0.207627;0.164019;0.205146;0.182776;0.265508;0.195114;0.188507;0.178312;0.184644;0.198422;0.140601;0.209649;0.251994;0.205254;0.207847;0.188201;0.248685
input7;0.170923;0.156127;0.197113;0.231726;0.218168;0.21845;0.212259;0.177615;0.189837;0.229249;0.222003;0.221971;0.202345;0.219658;0.216018;0.226485;0.223414;0.219055;0.174429;0.197144
input8;0.182367;0.197677;0.210934;0.157049;0.199197;0.169172;0.201641;0.220406;0.185852;0.194851;0.186072;0.131843;0.203477;0.187667;0.209539;0.222881;0.190644;0.177154;0.206882;0.244803
input9;0.204066;0.166843;0.203684;0.182766;0.242709;0.205277;0.221306;0.257209;0.173758;0.230604;0.200954;0.182254;0.173869;0.199932;0.199862;0.207857;0.221916;0.192017;0.207156;0.199702
input10;0.225979;0.251014;0.224333;0.192404;0.223441;0.201186;0.161508;0.233657;0.222422;0.192671;0.209602;0.264821;0.244651;0.18497;0.234798;0.24509;0.183726;0.200061;0.187202;0.154871
input11;0.234919;0.179196;0.19739;0.19867;0.228172;0.148216;0.240046;0.178857;0.204616;0.173921;0.215947;0.20639;0.216669;0.145666;0.194568;0.181949;0.1644;0.212499;0.16682;0.164642
input12;0.342196;0.27797;0.128275;0.194953;0.189975;0.229679;0.19995;0.23206;0.207925;0.211958;0.209768;0.160008;0.202936;0.195989;0.213261;0.172379;0.185543;0.192977;0.217331;0.200325
input13;0.38152;0.194471;0.222777;0.206385;0.191955;0.204938;0.21179;0.151938;0.209698;0.183407;0.271168;0.196236;0.19027;0.219531;0.235575;0.251581;0.199162;0.229899;0.204514;0.23424
input14;0.353246;0.200313;0.169622;0.147395;0.13603;0.188471;0.208443;0.174414;0.215771;0.192151;0.228386;0.157794;0.224419;0.193409;0.167549;0.216952;0.197932;0.198321;0.200145;0.215103
input15;0.362621;0.182815;0.217632;0.189361;0.164329;0.231922;0.188545;0.208374;0.184907;0.193187;0.213656;0.178742;0.180228;0.181696;0.219448;0.219474;0.234959;0.219725;0.204273;0.201896
input16;0.249072;0.388346;0.239034;0.314426;0.31333;0.15978;0.207277;0.163429;0.173612;0.176088;0.194892;0.173529;0.200055;0.213304;0.231625;0.173645;0.167052;0.233718;0.173535;0.20014
input17;0.356335;0.231203;0.325751;0.331748;0.24134;0.15998;0.203794;0.179444;0.177333;0.168611;0.154228;0.194363;0.189143;0.170565;0.1974;0.224476;0.208723;0.193162;0.164666;0.215501
input18;0.230599;0.418018;0.257412;0.260911;0.223896;0.167455;0.130033;0.198059;0.209089;0.165389;0.192977;0.174883;0.192768;0.208533;0.151648;0.187675;0.201377;0.171988;0.199765;0.220132
input19;0.357398;0.408415;0.278236;0.262075;0.223004;0.226777;0.168497;0.182323;0.177019;0.212633;0.185652;0.162529;0.154894;0.223242;0.208303;0.166797;0.152756;0.18554;0.171801;0.198245
input20;0.271637;0.437159;0.311532;0.243141;0.209603;0.241584;0.185234;0.172322;0.179058;0.161542;0.175697;0.169557;0.200552;0.199566;0.220197;0.232951;0.208072;0.1941;0.193086;0.171742
